OBJECTID,SITE_NO,LAN_FA_TY,LOCID,EFF_DATE,FAA_REGION,FAA_DISTRI,FAA_ST,STATE_NAME,COUNTY_NAM,COUNTY_ST,CITY_NAME,FULLNAME,OWNER_TYPE,FAC_USE,FAC_CYSTZP,ELEV,AERO_CHART,CBD_DIST,CBD_DIR,ACT_DATE,CERT_TYPE,FED_AGREE,INTERNATIO,CUST_LNDG,JOINT_USE,MIL_LNDG_R,MIL_INT,CNTL_TWR,S_ENG_GA,M_ENG_GA,JET_EN_GA,HELICOPTER,OPER_GLIDE,OPER_MIL,ULTRALIGHT,COMM_SERV,AIR_TAXI,LOCAL_OPS_,ITIN_OPS_G,MIL_OPS,LATITUDE,LONGITUDE,STFIPS,ST_POSTAL,CY_05_ENP,VERSION
57,17285.751*A,AIRPORT,8ND5,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,CASS,ND,CHAFFEE,AUSK STRIP,PR,PR,"ALICE, ND 58083",1020,TWIN CITIES,03,SW, , , , , , , , ,N,001, , , , , , , , , , , ,46.7638633333,-97.40537083330001,38,ND,0,10
35,17268.1*A,AIRPORT,D09,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BOTTINEAU,ND,BOTTINEAU,BOTTINEAU MUNI,PU,PU,"BOTTINEAU, ND 58318",1679,TWIN CITIES,01,E, , ,NGY,N,N,N,Y, ,N,011, , , , , , , ,000120,000800,002400, ,48.830391666699995,-100.41713611109999,38,ND,4,10
142,17361.*A,AIRPORT,ND99,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,CASS,ND,HICKSON,ELLIG FIELD,PR,PR,"HORACE, ND 58047",910,TWIN CITIES,03,N,10/1992, , , , , , , ,N,001, , , , , , , , , , , ,46.7202416667,-96.8095277778,38,ND,0,10
283,17473.811*A,AIRPORT,NA73,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC HENRY,ND,UPHAM,WELSTAD FARMS AIRSTRIP,PR,PR,"NEWBURG, ND 58762",1480,TWIN CITIES,10,W,07/1982, , , , , , , ,N,002, , , , , , , , , , , ,48.563908611100004,-101.0004305556,38,ND,0,10
282,17473.81*A,AIRPORT,4ND4,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC HENRY,ND,UPHAM,PFAU PVT,PR,PR,"UPHAM, ND 58789",1455,TWIN CITIES,06,W, , , , , , , , ,N,001, , , , , , , , , , , ,48.5639019444,-100.8795902778,38,ND,0,10
90,17323.*A,AIRPORT,38ND,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,CASS,ND,ERIE,SCHROEDER PRIVATE,PR,PR,"ERIE, ND 58029",1140,TWIN CITIES,02,SW, , , , , , , , ,N,003, , , , , , , , , , , ,47.098034722200005,-97.4011997222,38,ND,0,10
122,17353.12*A,AIRPORT,4NA6,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,WILLIAMS,ND,GRENORA,NICKS LANDING,PR,PR,"GRENORA, ND 58845",2440,BILLINGS,10,SE,07/1985, , , , , , , ,N,001, , , , , , , , , , , ,48.455025277800004,-103.8796511111,38,ND,0,10
289,17484.25*A,AIRPORT,NA99,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,RICHLAND,ND,WALCOTT,BAKKO AIRSTRIP,PR,PR,"WALCOTT, ND 58077",1040,TWIN CITIES,05,W,10/1982, , , , , , , ,N,001, , , , , , , , , , , ,46.5505205556,-97.0320313889,38,ND,0,10
169,17388.1*A,AIRPORT,D31,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BENSON,ND,LEEDS,LEEDS MUNI,PU,PU,"LEEDS, ND 58346",1508,TWIN CITIES,02,E,08/1987, , , , , , , ,N,010, , , , , , , ,000020,001000,000800, ,48.2849988889,-99.40346861110001,38,ND,0,10
6,17245.4*A,AIRPORT,ND01,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,CASS,ND,AMENIA,NELSON,PR,PR,"AMENIA, ND 58004",950,TWIN CITIES,03,NE, , , ,N,N, , , ,N,001, , , , , , , , , ,000200, ,47.0458080556,-97.18647583330001,38,ND,0,10
