OBJECTID,ABBREV,PERIOD,EPOCH,FORMATION,GROUP_,TOT_THICK_M,COLOR,LITH1,LITH2,LITH3,LITH4,GENESIS1,GENESIS2,GENESIS3,GENESIS4,SHAPE.AREA,SHAPE.LEN
10,Tb,Tertiary,Paleocene,Bullion Creek Formation, ,200,yellowish brown,"silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,2.4717725178547303,62.9061308481933
148,Kf,Cretaceous,Upper Cretaceous,Fox Hills Formation, ,120,olive brown,"sand, shale, and sandstone", , , ,marine shoreline and offshore, , , ,0.00248962714860314,0.348441466564899
7,Kn,Cretaceous,Upper Cretaceous,Niobrara Formation, ,75,light brown to dark gray,calcareous shale, , , ,marine offshore, , , ,0.00352012738918288,0.54518459388958
200,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00067207363838244,0.10941871706254601
77,Ts,Tertiary,Paloecene,Sentinel Butte Formation, ,200,grayish-brown,"silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,0.00117804893348051,0.21143847834499702
145,Kn,Cretaceous,Upper cretaceous,Niobrara Formation, ,75,light brown to dark gray,calcareous shale, , , ,marine offshore, , , ,0.00450195029861549,0.398186965724569
72,Ts,Tertiary,Paleocene,Sentinel Butte Formation, ,200,grayish-brown,"silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,0.006143068179173121,0.625750775824551
74,Kbs,Cretaceous,Lower to Upper Cretaceous,"Belle Fourche,Mowry,Newcastle, Skull Crk", ,245,"light,medium to dark gray",silty to sandy shale,shale,fine-medium grained sandstone,shale,marine offshore,marine offshore,marine shoreline and offshore,marine offshore,0.021752222760052398,1.16755406379102
9,Tc,Tertiary,Paleocene,Cannonball Formation, ,120,olive brown,"sand, shale, sandstone", , , ,marine shoreline and offshore, , , ,0.0172518660075785,1.1238860443083198
171,Tg,Tertiary,Eocene and Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.013411331606760502,0.573308675818208
87,Tb,Tertiary,Paleocene,Bullion Creek Formation, ,200,yellowish brown,"silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,0.000787210077287328,0.124539957600317
237,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.000670948682066688,0.117999993516825
221,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay,silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00027500465068908803,0.0698937638914835
117,Kf,Cretaceous,Upper Cretaceous,Fox Hills Formation, ,120,olive brown,"sand, shale, sandstone", , , ,"marine shoreline, offshore", , , ,0.0008521608203212801,0.11867391301087601
65,Kf,Cretaceous,Upper Cretaceous,Fox Hills Formation, ,120,olive brown,"sand, shale, and sandstone", , , ,marine shoreline and offshore, , , ,0.007914172992356621,0.333106624046131
181,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.000643411207721984,0.116247703663598
246,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.000126178530803248,0.0418697021703684
220,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00014018634540556801,0.051846650894091004
4,Kp,Pierre Formation,Upper Cretaceous,Pierre Formation, ,700,dark-gray,shale, , , ,marine offshore sediment, , , ,5.0953766504711195,30.177814008851
205,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.00021965144323065602,0.060855742326075
172,Tg,Tertiary,Eocene and Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, and cla","clay, silt, and sand", , ,fluvial,Weathering zone developed on Ts, , ,0.000181955102923168,0.0658122841163425
184,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.000870769069610944,0.16706474402746502
71,Ts,Tertiary,Paleocene,Sentinel Butte Formation, ,200,grayish brown,"silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,0.000422655676262256,0.0929187961470041
162,Tw,Tertiary,Oligocene,Brule and Chadron Formation,White River,80,pinkish; light colored,"siltstone, clay, and sand",sand with quartzite and porphyry pebbles,overlain by dark clay, ,river and lake,river and lake, , ,5.814762371392001e-5,0.030876902876579904
86,Kh,Cretaceous,Upper Cretaceous,Hell Creek Formation, ,150,gray,"sand, silt, clay, and sandstone", , , ,river, , , ,0.036710729129663104,0.917061574264823
23,Kh,Cretaceous,Upper Cretaceous,Hell Creek Formation, ,150,gray,"sand, silt, clay, and sandstone", , , ,river, , , ,0.00630180101232378,0.37975627137176
157,Tw,Tertiary,Oligocene,Brule and Chadron Formations,White River,80,pinkish; light colored,"siltstone, clay, and sand",sand with quartzite and porphyry pebbles,overlain by dark clay, ,river and lake,river and lake, , ,2.4345608627400002e-5,0.0197189410840895
56,Kbs,Cretaceous,Lower to Upper Cretaceous,"Belle Fourche,Mowry,Newcastle,Skull Crk.", ,245,"light,medium to dk gray",silty to sandy shale,shale,fine to medium grained sandstone,shale,marine offshore,marine offshore,marine shoreline and offshore,marine offshore,0.0127857571591054,0.932955694018594
188,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,7.8436664938776e-5,0.0399051808961732
